Comment,Designator,Footprint,LCSC
22uF,"C2,C4",C_1206_3216Metric,C12891
100nF,"C1,C3",C_0603_1608Metric,C14663
1N4148WS,"D2,D3",D_SOD-323,C2128
NPN_TOR,Q2,SOT-23,C2145
390R,R1,R_0603_1608Metric,C23151
4k7,R2,R_0603_smalltext,C23162
MB10S,D1,MB10s,C2488
G6K-2F-Y-TR DC5,K1,Relay_DPDT_Omron_G6K-2F-Y,C397194
EL814,U2,SMDIP-4_W9.53mm,C500388
S2MF,"D4,D5,D6,D7,D8,D9",S2MF_DIODE,C5125722
L78L12_SOT89,U1,SOT-89-3,C75501
Screw_Terminal_01x04,J4,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",C880574
