Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,145.8785,-47.729,180.0,top
C2,22uF,C_1206_3216Metric,146.3865,-38.966,0.0,top
C3,100nF,C_0603_1608Metric,145.6245,-40.998,180.0,top
C4,22uF,C_1206_3216Metric,128.323,-40.7145,-90.0,top
D1,MB10S,MB10s,145.928,-52.55,0.0,top
D2,1N4148WS,D_SOD-323,131.707,-46.29,90.0,top
D3,1N4148WS,D_SOD-323,129.421,-46.29,-90.0,top
D4,S2MF,S2MF_DIODE,153.847,-49.505,180.0,top
D5,S2MF,S2MF_DIODE,153.747,-52.68,0.0,top
D6,S2MF,S2MF_DIODE,153.783,-46.33,0.0,top
D7,S2MF,S2MF_DIODE,153.847,-55.855,180.0,top
D8,S2MF,S2MF_DIODE,153.783,-59.03,0.0,top
D9,S2MF,S2MF_DIODE,153.874,-62.078,180.0,top
J4,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",141.976,-59.0675,0.0,top
K1,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,138.421,-50.5,90.0,top
Q2,NPN_TOR,SOT-23,131.371,-42.0625,180.0,top
R1,390R,R_0603_1608Metric,129.921,-61.824,180.0,top
R2,4k7,R_0603_smalltext,131.3475,-39.1415,180.0,top
U1,L78L12_SOT89,SOT-89-3,146.938,-44.346,180.0,top
U2,EL814,SMDIP-4_W9.53mm,129.921,-54.5,90.0,top
