Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_DO-34_SOD68_P7.62mm_Horizontal,147.193,-114.69,90.0,top
D5,D,D_DO-34_SOD68_P7.62mm_Horizontal,149.479,-114.681,90.0,top
D6,D,D_DO-34_SOD68_P7.62mm_Horizontal,151.765,-114.681,90.0,top
D7,D,D_DO-34_SOD68_P7.62mm_Horizontal,153.924,-114.676,90.0,top
D8,D,D_DO-34_SOD68_P7.62mm_Horizontal,156.072,-114.676,90.0,top
J1,Conn_01x08_Male,PinHeader_1x08_P2.54mm_Horizontal,119.5,-108.66,180.0,top
J2,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",161.28,-83.769,180.0,top
J3,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",137.536,-113.462,0.0,top
J4,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Horizontal,161.5,-108.66,180.0,top
U1,HDF3,HDF3,156.7122,-96.057,0.0,top
U2,HDF3,HDF3,136.2652,-96.057,0.0,top
U3,HDF3,HDF3,146.5522,-96.057,0.0,top
