Comment,Designator,Footprint,LCSC
6N137,"U201,U203",SOP-8_6.605x9.655mm_P2.54mm,C110020
100nF,C201,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
P-channel,"Q201,Q203",SOT-23,C15127
12V,"D201,D202",D_SOD-123,C173429
N-channel,"Q202,Q204",SOT-23,C20917
1N4148WS,"D1,D2",D_SOD-323,C2128
NPN_TOR,Q1,SOT-23,C2145
15k,"R204,R207",R_0603_smalltext,C22809
1k5,"R1,R205",R_0603_smalltext,C22843
470R,"R201,R209",R_0603_smalltext,C23179
10k,"R202,R203,R206,R208",R_0603_smalltext,C25804
Screw_Terminal_01x02,J103,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",C2840336
Conn_01x04_Socket,J102,PinSocket_1x04_P2.54mm_Horizontal,C2935994
Conn_01x04_Pin,J101,PinHeader_1x04_P2.54mm_Horizontal,C492412
100uF,C202,CP_Elec_6.3x5.9,C494840
EL814,U202,SMDIP-4_W9.53mm,C500388
Barrel_Jack,J201,BarrelJack_GCT_DCJ200-10-A_Horizontal,C7428747
