Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SMA,147.828,-102.108,180.0,top
D2,D,D_SMA,155.194,-102.108,0.0,top
D3,D,D_SMA,132.112,-102.108,180.0,top
D4,D,D_SMA,139.446,-102.108,0.0,top
D5,D,D_SMA,117.126,-102.108,180.0,top
D6,D,D_SMA,124.428,-102.108,0.0,top
D7,D,D_SMA,101.378,-102.108,180.0,top
D8,D,D_SMA,108.934,-102.108,0.0,top
D9,D,D_SMA,108.998,-130.302,0.0,top
D10,D,D_SMA,101.6,-130.302,180.0,top
D11,D,D_SMA,124.46,-130.302,0.0,top
D12,D,D_SMA,117.094,-130.334,180.0,top
D13,D,D_SMA,139.748,-130.302,0.0,top
D14,D,D_SMA,132.414,-130.302,180.0,top
D15,D,D_SMA,154.86,-130.302,0.0,top
D16,D,D_SMA,147.526,-130.302,180.0,top
D17,D_Bridge_+-AA,Diode_Bridge_Diotec_SO-DIL-Slim,97.409,-110.871,180.0,top
J1,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",156.184,-94.098,180.0,top
J2,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",140.944,-94.098,180.0,top
J3,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",125.704,-94.098,180.0,top
J4,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",110.464,-94.098,180.0,top
J5,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",100.5,-138.231,0.0,top
J6,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",115.73,-138.231,0.0,top
J7,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",130.97,-138.231,0.0,top
J8,coil,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",146.22,-138.231,0.0,top
