Comment,Designator,Footprint,LCSC
ATtiny416-M,U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C2053012
D_Bridge_+-AA,D1,Diode_Bridge_Diotec_MicroDil_3.0x3.0x1.8mm,C212750
100R,R3,R_0402_1005Metric,C25076
10k,R1,R_0402_1005Metric,C25744
33k,R2,R_0402_1005Metric,C25779
D,D3,D_SOD-923,C267245
100nF,"C1,C2,C3,C4",C_0402_1005Metric,C307331
~,U1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C3681269
22uF,C5,C_0603_1608Metric,C59461
L78L05_SOT89,U3,SOT-89-3,C71136
Conn_01x03_Pin,J5,PinHeader_1x03_P1.27mm_Vertical,
Conn_01x01_Pin,J3,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J101,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J1,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J102,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J4,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J2,SolderWirePad_1x01_SMD_1x2mm,
