Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,12pF,C_0603_1608Metric,105.149324,-93.565268,90.0,top
C202,100nF,C_0402_1005Metric,107.571913,-90.558857,135.0,top
C203,12pF,C_0603_1608Metric,107.911324,-96.486268,0.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,123.231,-102.7265,90.0,top
D301,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,94.268817,-67.735,90.0,top
D302,1N4148WS,D_SOD-323,96.427817,-22.659,0.0,top
D303,SS53,D_SMA,94.494817,-38.364,90.0,top
D304,SS53,D_SMA,94.367817,-45.73,90.0,top
D305,SS53,D_SMA,98.177817,-38.396,-90.0,top
D306,SS53,D_SMA,98.177817,-45.73,-90.0,top
D307,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.427817,-67.744,90.0,top
D501,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,104.428817,-67.725,90.0,top
D502,1N4148WS,D_SOD-323,106.587817,-22.649,0.0,top
D503,SS53,D_SMA,104.654817,-38.354,90.0,top
D504,SS53,D_SMA,104.527817,-45.72,90.0,top
D505,SS53,D_SMA,108.337817,-38.386,-90.0,top
D506,SS53,D_SMA,108.337817,-45.72,-90.0,top
D507,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.587817,-67.734,90.0,top
D601,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.588817,-67.725,90.0,top
D602,1N4148WS,D_SOD-323,116.747817,-22.649,0.0,top
D603,SS53,D_SMA,114.814817,-38.354,90.0,top
D604,SS53,D_SMA,114.687817,-45.72,90.0,top
D605,SS53,D_SMA,118.497817,-38.386,-90.0,top
D606,SS53,D_SMA,118.497817,-45.72,-90.0,top
D607,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.747817,-67.734,90.0,top
D701,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.875817,-67.725,90.0,top
D702,1N4148WS,D_SOD-323,127.034817,-22.649,0.0,top
D703,SS53,D_SMA,125.101817,-38.354,90.0,top
D704,SS53,D_SMA,124.974817,-45.72,90.0,top
D705,SS53,D_SMA,128.784817,-38.386,-90.0,top
D706,SS53,D_SMA,128.784817,-45.72,-90.0,top
D707,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,127.034817,-67.734,90.0,top
K301,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,96.300817,-29.009,270.0,top
K501,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,106.460817,-28.999,270.0,top
K601,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,116.620817,-28.999,270.0,top
K701,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,126.907817,-28.999,270.0,top
Q301,NPN_TOR,SOT-23,99.287817,-55.6305,270.0,top
Q501,NPN_TOR,SOT-23,109.447817,-55.6205,270.0,top
Q601,NPN_TOR,SOT-23,119.607817,-55.6205,270.0,top
Q701,NPN_TOR,SOT-23,129.894817,-55.6205,270.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,123.317,-99.695,0.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120.274,-99.705,0.0,top
R301,3k3,R_0603_smalltext,94.268817,-63.925,-90.0,top
R302,1k,R_0603_smalltext,99.348817,-58.854,180.0,top
R303,47R,R_0603_smalltext,98.205817,-51.361,-90.0,top
R304,3k3,R_0603_smalltext,96.427817,-64.061,-90.0,top
R501,3k3,R_0603_smalltext,104.428817,-63.915,-90.0,top
R502,1k,R_0603_smalltext,109.508817,-58.844,180.0,top
R503,47R,R_0603_smalltext,108.365817,-51.351,-90.0,top
R504,3k3,R_0603_smalltext,106.587817,-64.051,-90.0,top
R601,3k3,R_0603_smalltext,114.588817,-63.915,-90.0,top
R602,1k,R_0603_smalltext,119.668817,-58.844,180.0,top
R603,47R,R_0603_smalltext,118.525817,-51.351,-90.0,top
R604,3k3,R_0603_smalltext,116.747817,-64.051,-90.0,top
R701,3k3,R_0603_smalltext,124.875817,-63.915,-90.0,top
R702,1k,R_0603_smalltext,129.955817,-58.844,180.0,top
R703,47R,R_0603_smalltext,128.812817,-51.351,-90.0,top
R704,3k3,R_0603_smalltext,127.034817,-64.051,-90.0,top
SW301,SW_Push,tactile_SMD_6mm,96.558,-75.103,0.0,top
SW501,SW_Push,tactile_SMD_6mm,106.718,-75.093,0.0,top
SW601,SW_Push,tactile_SMD_6mm,116.878,-75.093,0.0,top
SW701,SW_Push,tactile_SMD_6mm,127.165,-75.093,0.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,111.381324,-85.935268,315.0,top
U301,EL814,SMDIP-4_W9.53mm,94.268817,-55.806,-90.0,top
U501,EL814,SMDIP-4_W9.53mm,104.428817,-55.796,-90.0,top
U601,EL814,SMDIP-4_W9.53mm,114.588817,-55.796,-90.0,top
U701,EL814,SMDIP-4_W9.53mm,124.875817,-55.796,-90.0,top
Y201,Crystal_GND2,crystal_arduino,108.070324,-93.658268,-90.0,top
